timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2025-12-07 05:00:00+02:00,12.720592,1158.86556,292.68399,68.7391,0.0,227.64453,8.68606,1954.5984,0.83259,3.43,487.83828
2025-12-07 06:00:00+02:00,12.748992,1161.12042,293.716985,68.7889,0.0,233.162968,8.90682,1954.0512,0.929907,3.574,509.366196
2025-12-07 07:00:00+02:00,12.368768,1170.62214,293.669605,68.7518,0.0,239.155973,124.45862,1955.1456,8.932641,3.57,530.126011
2025-12-07 08:00:00+02:00,12.215136,1170.72577,295.583045,68.8916,0.0,256.835056,221.30041,1955.6928,165.628634,3.578,562.246888
2025-12-07 09:00:00+02:00,12.416384,1176.24352,295.877275,68.5685,0.0,258.400256,221.90527,1954.872,347.027833,3.484,571.573827
2025-12-07 10:00:00+02:00,12.5204,1172.93119,295.90519,68.5559,0.0,258.93149,271.99524,1953.0936,537.852732,3.469,544.623215
2025-12-07 11:00:00+02:00,12.765776,1205.70962,294.61706,68.6578,0.0,254.121704,221.83783,1954.0512,627.400485,3.642,540.891123
2025-12-07 12:00:00+02:00,12.773328,1171.3348,295.15231,68.4239,0.0,232.085175,8.99278,1955.0088,581.131268,3.253,508.735863
2025-12-07 13:00:00+02:00,12.729952,1172.69614,292.89468,68.5463,0.0,209.82843,8.72447,1954.188,445.116004,3.263,511.301676
2025-12-07 14:00:00+02:00,12.67272,1165.22155,294.722185,68.3551,0.0,211.144081,10.00157,1954.4616,302.717872,3.293,551.503081
2025-12-07 15:00:00+02:00,12.673392,1178.48975,294.88584,68.3992,0.0,211.973058,219.97556,1953.7776,158.756437,3.436,559.259207
2025-12-07 16:00:00+02:00,12.717968,1177.17594,295.085,68.6059,94.05,248.172645,462.39585,1953.3672,107.412026,3.533,556.387632
2025-12-07 17:00:00+02:00,12.7988,1166.13265,295.737575,68.6851,188.1,277.53261,713.78359,1954.872,321.750801,3.312,564.434164
2025-12-07 18:00:00+02:00,13.73272,1180.02876,295.808285,68.3876,187.11,272.460325,751.48287,1953.6408,257.262201,3.728,549.436367
2025-12-07 19:00:00+02:00,13.91288,1190.07101,295.99555,68.4913,188.1,274.06955,708.49619,1954.7352,148.805781,4.134,533.992407
2025-12-07 20:00:00+02:00,13.707168,1210.33873,296.65628,68.3611,187.11,271.362049,565.35217,1954.188,229.023402,3.696,511.359096
2025-12-07 21:00:00+02:00,13.625936,1223.54412,292.79071,68.6138,48.51,248.541678,325.72865,1953.0936,154.290133,2.855,508.742605
2025-12-07 22:00:00+02:00,13.378832,1221.55053,290.68071,68.3862,0.0,238.206949,8.94646,1954.4616,26.866233,2.92,484.068499
2025-12-07 23:00:00+02:00,12.892624,1221.14226,288.980425,68.4139,0.0,236.077439,8.69498,1955.0088,42.628885,2.727,459.58667
2025-12-08 00:00:00+02:00,12.606048,1223.40223,291.090925,68.3993,0.0,224.683727,8.7415,1953.9144,0.819462,2.176,446.870249
2025-12-08 01:00:00+02:00,12.664896,1222.44518,295.749105,68.5329,0.0,213.035229,8.689,1952.5464,1.982178,2.142,425.013494
2025-12-08 02:00:00+02:00,12.619056,1206.98907,296.502325,68.6881,0.0,213.012231,8.72753,1955.1456,0.100326,2.147,414.654292
2025-12-08 03:00:00+02:00,12.469168,1206.31295,296.79882,68.4222,0.0,209.978732,8.67597,1955.8296,0.09502,2.234,411.202459
2025-12-08 04:00:00+02:00,12.939776,1203.28947,296.836085,68.3921,0.0,209.24836,8.71053,1954.3248,0.107504,2.702,405.981496
2025-12-08 05:00:00+02:00,12.365728,1206.16061,297.11977,68.6176,0.0,209.728094,8.66297,1953.9144,0.14152,3.047,408.69569
2025-12-08 06:00:00+02:00,12.826288,1203.36797,298.294465,68.7684,0.0,233.965521,29.48067,1955.4192,1.878059,3.027,435.346619
2025-12-08 07:00:00+02:00,13.427552,1206.70729,298.35869,68.8327,0.0,247.337669,197.32543,1955.4192,12.517342,3.075,437.274189
2025-12-08 08:00:00+02:00,13.554256,1205.55916,294.94971,68.4958,0.0,310.427855,400.64573,1954.7352,277.603652,3.041,482.670223
2025-12-08 09:00:00+02:00,13.66968,1207.87692,294.66537,68.6357,0.0,315.024039,423.80778,1956.1032,679.803546,3.118,458.427558
2025-12-08 10:00:00+02:00,12.6892,1216.61709,294.442435,68.4481,0.0,309.323549,233.26546,1956.3768,960.502791,2.405,425.992099
2025-12-08 11:00:00+02:00,12.520992,1204.97607,291.149875,68.5754,0.0,223.066928,8.14943,1955.6928,1219.833963,2.427,370.632061
2025-12-08 12:00:00+02:00,12.212432,1208.94106,292.72323,67.9819,0.0,211.613836,8.68097,1954.872,1288.302532,3.007,370.815726
2025-12-08 13:00:00+02:00,11.332864,1212.50512,294.299755,68.4095,0.0,211.981383,8.72451,1955.0088,1276.079739,2.779,297.911601
2025-12-08 14:00:00+02:00,12.0836,1225.18181,294.03247,68.1762,0.0,209.890622,8.86904,1954.7352,1070.09941,3.441,224.038475
2025-12-08 15:00:00+02:00,12.21592,1232.73263,293.752685,68.3534,0.0,255.346294,140.4242,1953.504,534.758798,3.247,224.782331
2025-12-08 16:00:00+02:00,13.604272,1286.67851,297.41214,68.2768,0.0,282.137714,439.70121,1954.3248,265.647433,3.172,210.346606
